id,Result
1257_1278,0.5
1261_1463,0.5
1120_1308,0.5
1199_1436,0.5
1133_1277,0.5
1125_1268,0.5
1242_1318,0.5
1266_1293,0.5
1196_1305,0.5
1101_1246,0.5
1192_1211,0.5
1388_1437,0.5
1371_1459,0.5
1276_1285,0.5
1124_1393,0.5
1330_1345,0.5
1153_1234,0.5
1279_1328,0.5
1297_1403,0.5
1243_1414,0.5
1159_1397,0.5
1205_1438,0.5
1113_1138,0.5
1332_1458,0.5
1429_1449,0.5
1181_1295,0.5
1209_1222,0.5
1251_1280,0.5
1233_1314,0.5
1416_1433,0.5
1235_1326,0.5
1387_1439,0.5
1261_1268,0.5
1246_1459,0.5
1196_1276,0.5
1277_1278,0.5
1199_1293,0.5
1124_1211,0.5
1345_1437,0.5
1120_1242,0.5
1234_1397,0.5
1314_1449,0.5
1181_1416,0.5
1138_1403,0.5
1251_1439,0.5
1328_1438,0.5
1222_1326,0.5
1332_1414,0.5
1199_1211,0.5
1345_1397,0.5
1276_1403,0.5
1332_1438,0.5
1261_1277,0.5
1120_1314,0.5
1181_1439,0.5
1222_1246,0.5
1211_1403,0.5
1345_1438,0.5
1120_1246,0.5
1181_1277,0.5
1277_1403,0.5
1120_1438,0.5
1403_1438,0.5
